label,diagnosis_code,diagnosis_name,support,original_f1,new_f1,delta_f1,original_recall,new_recall,delta_recall,original_precision,new_precision,delta_precision,status
label_59118001,59118001,Right Bundle Branch Block,90,0.5,0.4727,-0.0273,0.8,0.7222,-0.0778,0.3636,0.3514,-0.0123,DEGRADED
label_59931005,59931005,T Wave Inversion,464,0.5633,0.5513,-0.0119,0.681,0.6422,-0.0388,0.4802,0.483,0.0027,MAINTAINED
label_61277005,61277005,Unknown - Verify,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_61721007,61721007,Unknown - Verify,89,0.3488,0.3249,-0.024,0.5056,0.3596,-0.1461,0.2663,0.2963,0.03,DEGRADED
label_63593006,63593006,Supraventricular Premature Beats,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_6374002,6374002,Unknown - Verify,63,0.3955,0.4258,0.0303,0.5556,0.5238,-0.0317,0.307,0.3587,0.0517,IMPROVED
label_65778007,65778007,Unknown - Verify,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_67741000119109,67741000119109,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_67751000119106,67751000119106,Unknown - Verify,3,0.0476,0.0,-0.0476,0.3333,0.0,-0.3333,0.0256,0.0,-0.0256,DEGRADED
label_698252002,698252002,Unknown - Verify,119,0.4019,0.3777,-0.0242,0.3613,0.5966,0.2353,0.4526,0.2763,-0.1764,DEGRADED
label_713422000,713422000,Unknown - Verify,45,0.199,0.2645,0.0655,0.4444,0.3556,-0.0889,0.1282,0.2105,0.0823,IMPROVED
label_713426002,713426002,Unknown - Verify,42,0.4037,0.3182,-0.0855,0.5238,0.6667,0.1429,0.3284,0.209,-0.1194,DEGRADED
label_713427006,713427006,Unknown - Verify,145,0.7078,0.7123,0.0046,0.9103,0.8966,-0.0138,0.5789,0.5909,0.012,MAINTAINED
label_733534002,733534002,Unknown - Verify,43,0.7021,0.7059,0.0038,0.7674,0.6977,-0.0698,0.6471,0.7143,0.0672,MAINTAINED
label_74390002,74390002,Unknown - Verify,7,0.5333,0.625,0.0917,0.5714,0.7143,0.1429,0.5,0.5556,0.0556,IMPROVED
label_75532003,75532003,Unknown - Verify,7,0.125,0.1538,0.0288,0.1429,0.1429,0.0,0.1111,0.1667,0.0556,IMPROVED
label_77867006,77867006,Unknown - Verify,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_81898007,81898007,Unknown - Verify,12,0.4762,0.64,0.1638,0.4167,0.6667,0.25,0.5556,0.6154,0.0598,IMPROVED
label_89792004,89792004,Unknown - Verify,20,0.5758,0.4528,-0.1229,0.95,0.6,-0.35,0.413,0.3636,-0.0494,DEGRADED
